Auto Posto Nº 127,PR,SUL,180396,SIM,32,EXECUÇÃO,SIM,REALIZADO,7
Auto Posto Nº 131,SP,SÃO PAULO,170000,SIM,32,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 136,AL,NORDESTE,151300,SIM,32,EXECUÇÃO,SIM,REALIZADO,8
Rede Abastecedora Número 76,RJ,SUDESTE,150000,SIM,32,EXECUÇÃO,SIM,REALIZADO,3
Rede Abastecedora Número 108,SP,SÃO PAULO,150000,SIM,32,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 12,CE,NORDESTE,617402,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,8
Rede Abastecedora Número 77,SP,SÃO PAULO,120747,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,8
Auto Posto Mais 5,RS,SUL,120003,NÃO,32,EXECUÇÃO,NÃO,NÃO REALIZADO,3
Rede IOTA & Cia,GO ,CENTRO OESTE,120000,NÃO,32,EXECUÇÃO,NÃO,REALIZADO,3
Teta & Cia Combustíveis,MA,NORDESTE,120000,NÃO,32,EXECUÇÃO,NÃO,REALIZADO,5
Rede Abastecedora Número 42,MT,CENTRO OESTE,113000,NÃO,32,CONHECIMENTO,NÃO,REALIZADO,6
Rede Abastecedora Número 43,SP,SÃO PAULO,110000,NÃO,32,CONHECIMENTO,NÃO,REALIZADO,7
Auto Posto Sábado,SP,SÃO PAULO,109724,NÃO,32,CONHECIMENTO,NÃO,REALIZADO,5
Auto Posto Nº 26,RS,SUL,105000,NÃO,32,EXECUÇÃO,SIM,REALIZADO,6
Rede Abastecedora Número 29,PB,NORDESTE,103000,NÃO,32,EXECUÇÃO,NÃO,REALIZADO,5
Auto Posto Mais 40,SP,SÃO PAULO,101776,NÃO,32,EXECUÇÃO,SIM,REALIZADO,6
Rede de Postos Quarta,SP,SÃO PAULO,1602578,SIM,32,EXECUÇÃO,SIM,REALIZADO,7
Auto Posto Nº 36,PE,NORDESTE,799576,SIM,32,EXECUÇÃO,SIM,NÃO REALIZADO,4
Auto Posto Mais 2,SP,SÃO PAULO,5172201,SIM,31,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Nº 41,DF,CENTRO OESTE,796836,SIM,30,CONHECIMENTO,NÃO,REALIZADO,3
Auto Posto Mais 97,RJ,SUDESTE,750883,SIM,30,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 79,RS,SUL,600000,SIM,30,CONHECIMENTO,SIM,NÃO REALIZADO,6
Auto Posto Nº 67,AL,NORDESTE,437329,SIM,30,EXECUÇÃO,SIM,REALIZADO,3
Auto Posto Mais 44,SP,SÃO PAULO,414755,SIM,30,EXECUÇÃO,SIM,REALIZADO,6
Auto Posto Mais 25,SP,SÃO PAULO,400000,NÃO,30,CONHECIMENTO,NÃO,NÃO REALIZADO,7
Rede Abastecedora Número 53,PI,NORDESTE,307000,SIM,30,CONHECIMENTO,SIM,NÃO REALIZADO,3
